;Banque;Catégorie;Date;Numéro d'opération;Libellé;Crédit;Détail
217;CEAPC;;2024-12-11;1211202420241112-09.33.18.098155 -;VIR SEPA CETIP CETIP;11.44;TP-20241112-ISANTE -172032443-0000476776-6396-   
218;CEAPC;;2024-12-11;1211202420241112-09.33.16.744339 -;VIR SEPA CETIP CETIP;121.47;TP-20241112-SPSANT -172032443-0000476776-6396-   
219;CEAPC;;2024-12-11;1211202420241112-05.41.00.405411 -;VIR SEPA ACTIL SAS;18.29;ACT:4427341/172032443-061124    
220;CEAPC;;2024-12-11;1211202420241112-03.06.28.873230 -;VIR SEPA CPAM MAINE-ET-LOIRE;9.54;0000001720324433123720241108    
221;CEAPC;;2024-12-11;1211202420241112-03.06.22.590390 -;VIR SEPA CPAM LA ROCHE S/YON VV;127.7;0000001720324433127140241108    
222;CEAPC;;2024-12-11;1211202420241112-03.06.20.817066 -;VIR SEPA CAISSE PREVOYANCE ET R;227.41;CP MANDAT 20241105          1720 3244   
223;CEAPC;;2024-12-11;1211202420241112-03.05.54.028144 -;VIR SEPA ALMERYS;44.72;TP-20241108-ALMERYS TP -172032443-0098532001-6396-   
224;CEAPC;;2024-12-11;1211202420241112-03.05.35.109393 -;VIR SEPA CAMIEG;38.2;0000001720324433120171241108    
225;CEAPC;;2024-12-11;1211202420241112-03.05.34.845263 -;VIR SEPA CPAM DES YVELINES;4.07;0000001720324433127132241108    
226;CEAPC;;2024-12-11;1211202420241112-03.05.32.947449 -;VIR SEPA CPAM HAUTS DE SEINE SE;8.96;0000001720324433129201241108    
227;CEAPC;;2024-12-11;1211202420241112-03.05.32.418520 -;VIR SEPA CPAM ILLE ET VILAINE;11.64;0000001720324433127401241108    
228;CEAPC;;2024-12-11;1211202420241112-03.05.31.450062 -;VIR SEPA CPAM 93;60.49;0000001720324433121113241108    
239;CEAPC;;2024-11-11;1111202420241111-08.36.17.569493 -;CB PHARMAMERIQUES    091124;100.02;CB PHARMAMERIQUES    091124 CONTRAT 8413786     REM 171107   
240;CEAPC;;2024-11-11;1111202420241111-08.36.17.556207 -;CB PHARMAMERIQUES    091124;103.82;CB PHARMAMERIQUES    091124 CONTRAT 8413786     REM 168025   
241;CEAPC;;2024-11-11;1111202420241111-08.36.17.545162 -;CB PHARMAMERIQUES    091124;11.4;CB PHARMAMERIQUES    091124 CONTRAT 8413785     REM 172620   
242;CEAPC;;2024-11-11;1111202420241111-08.36.17.532740 -;CB PHARMAMERIQUES    091124;117.89;CB PHARMAMERIQUES    091124 CONTRAT 8413785     REM 168004   
243;CEAPC;;2024-11-11;1111202420241111-03.56.13.104688 -;VIR SEPA HARMONIE MUTUELLE;25.2;TP-20241107-HARMONIE MUTUELLE -172032443-609143-4287-   
244;CEAPC;;2024-11-11;1111202420241111-03.56.12.794728 -;VIR SEPA HARMONIE MUTUELLE;53.87;TP-20241107-HARMONIE MUTUELLE -172032443-609143-4287-   
251;CEAPC;;2024-09-11;0911202420241109-08.36.57.999347 -;CB PHARMAMERIQUES    081124;385.55;CB PHARMAMERIQUES    081124 CONTRAT 8413786     REM 163468   
252;CEAPC;;2024-09-11;0911202420241109-08.36.57.992350 -;CB PHARMAMERIQUES    081124;271.26;CB PHARMAMERIQUES    081124 CONTRAT 8413785     REM 163946   
253;CEAPC;;2024-09-11;0911202420241109-08.36.57.985380 -;CB PHARMAMERIQUES    081124;170.87;CB PHARMAMERIQUES    081124 CONTRAT 8413786     REM 167940   
254;CEAPC;;2024-09-11;0911202420241109-08.36.57.977627 -;CB PHARMAMERIQUES    081124;61.75;CB PHARMAMERIQUES    081124 CONTRAT 8413785     REM 170511   
256;CEAPC;;2024-08-11;0811202420241108-18.17.09.897451 -;VIR SEPA KORELIO PRESTATIONS;16.05;FRAIS MEDICAUX LOT NUMERO:018    
257;CEAPC;;2024-08-11;0811202420241108-13.21.54.681321 -;VIR SEPA MUTUELLE GENERALE EDUC;6.78;OW017P471324017OWRQ71328943GW04 OW05/11/24-0482/0497   
258;CEAPC;;2024-08-11;0811202420241108-13.21.52.645002 -;VIR SEPA MUTUELLE GENERALE EDUC;86.99;TP-20241105-017OWNP71329747 -172 032443-0091007171-6396-   
259;CEAPC;;2024-08-11;0811202420241108-13.21.50.128754 -;VIR SEPA VIAMEDIS;49.12;TP-20241104-VIREMENT 7036556 -172032443-0075990010-6396-   
260;CEAPC;;2024-08-11;0811202420241108-13.21.37.759245 -;VIR SEPA MSA DES CHARENTES;53.38;2024110600000017203244 02171000    
261;CEAPC;;2024-08-11;0811202420241108-10.46.33.374602 -;VIR SEPA C.P.A.M. DEUX SEVRES;8.29;0000001720324433111599241107    
262;CEAPC;;2024-08-11;0811202420241108-10.46.31.860552 -;VIR SEPA C.P.A.M. ORLEANS;3.43;0000001720324433116031241107    
263;CEAPC;;2024-08-11;0811202420241108-10.46.29.518305 -;VIR SEPA CPAM DE LA HAUTE LOIRE;22.36;0000001720324433117581241107    
264;CEAPC;;2024-08-11;0811202420241108-10.46.26.143701 -;VIR SEPA C.P.A.M. D ANGOULEME;7.9;0000001720324433111622241107    
265;CEAPC;;2024-08-11;0811202420241108-10.46.17.277888 -;VIR SEPA ACTIL SAS;17.25;ACT:4395226/172032443-051124    
266;CEAPC;;2024-08-11;0811202420241108-10.46.13.071263 -;VIR SEPA C.P.A.M. DE LIMOGES;3.46;0000001720324433114221241107    
267;CEAPC;;2024-08-11;0811202420241108-10.46.04.386447 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1761.19;0000001720324433118122241107    
268;CEAPC;;2024-08-11;0811202420241108-09.35.53.928647 -;VIR SEPA CETIP CETIP;31.43;TP-20241108-SPSANT -172032443-0000476776-6396-   
269;CEAPC;;2024-08-11;0811202420241108-09.35.51.820198 -;VIR SEPA MUTUELLE GENERALE EDUC;2.07;TP-20241105-078OWNP71371212 -172 032443-0091007781-6396-   
270;CEAPC;;2024-08-11;0811202420241108-09.35.49.570549 -;VIR SEPA MUTUELLE GENERALE EDUC;2.37;OW078P471324078OWLQ71369862JB56 OW05/11/24-5661/5661   
278;CEAPC;;2024-08-11;0811202420241108-08.40.56.154426 -;CB PHARMAMERIQUES    071124;335.94;CB PHARMAMERIQUES    071124 CONTRAT 8413786     REM 163146   
279;CEAPC;;2024-08-11;0811202420241108-08.40.56.146841 -;CB PHARMAMERIQUES    071124;677.81;CB PHARMAMERIQUES    071124 CONTRAT 8413786     REM 159719   
280;CEAPC;;2024-08-11;0811202420241108-08.40.56.139728 -;CB PHARMAMERIQUES    071124;100.69;CB PHARMAMERIQUES    071124 CONTRAT 8413785     REM 165138   
281;CEAPC;;2024-08-11;0811202420241108-08.40.56.131126 -;CB PHARMAMERIQUES    071124;30.01;CB PHARMAMERIQUES    071124 CONTRAT 8413785     REM 159540   
282;CEAPC;;2024-08-11;0811202420241108-03.10.45.189584 -;VIR SEPA ALMERYS;89.48;TP-20241107-ALMERYS TP -172032443-0098532001-6396-   
283;CEAPC;;2024-08-11;0811202420241108-03.10.42.313957 -;VIR SEPA CPAM DU VAL D OISE;40.49;0000001720324433118500241107    
284;CEAPC;;2024-08-11;0811202420241108-03.10.40.973355 -;VIR SEPA CPAM DU MORBIHAN - COU;45.91;0000001720324433112411241107    
285;CEAPC;;2024-08-11;0811202420241108-03.10.35.774730 -;VIR SEPA CPAM HAUTS DE SEINE SE;5.25;0000001720324433119201241107    
286;CEAPC;;2024-08-11;0811202420241108-03.10.26.087972 -;VIR SEPA CAMIEG;18.6;0000001720324433110031241107    
287;CEAPC;;2024-08-11;0811202420241108-03.08.46.921709 -;VIR SEPA CPAM LA ROCHE S/YON VV;10.29;0000001720324433117140241107    
288;CEAPC;;2024-08-11;0811202420241108-03.08.18.944423 -;VIR SEPA C.P.A.M. LE MANS;19.03;0000001720324433116920241107    
289;CEAPC;;2024-08-11;0811202420241108-03.08.13.729791 -;VIR SEPA CGSS DECAISSEMENT VIRE;8.63;0000001720324433097032241105    
290;CEAPC;;2024-08-11;0811202420241108-03.08.13.282450 -;VIR SEPA CAISSE PREVOYANCE ET R;7.9;CP MANDAT 20241101          1720 3244   
291;CEAPC;;2024-08-11;0811202420241108-03.08.06.390603 -;VIR SEPA DDFIP DU VAR;149.54;0000001720324433092106241105    
294;CEAPC;;2024-07-11;0711202420241107-18.17.37.570759 -;VIR SEPA KORELIO PRESTATIONS;30.38;FRAIS MEDICAUX LOT NUMERO:734    
295;CEAPC;;2024-07-11;0711202420241107-16.22.35.483880 -;VIR SEPA MSA DES CHARENTES;27.78;2024110500000017203244 02171000    
296;CEAPC;;2024-07-11;0711202420241107-13.17.38.960798 -;VIR SEPA MUTUELLE GENERALE EDUC;58.61;TP-20241104-017OWNP71235858 -172 032443-0091007171-6396-   
297;CEAPC;;2024-07-11;0711202420241107-13.17.36.555840 -;VIR SEPA MUTUELLE GENERALE EDUC;2.99;TP-20241104-974OWNP71260128 -172 032443-0091007974-6396-   
298;CEAPC;;2024-07-11;0711202420241107-13.17.36.235254 -;VIR SEPA MUTUELLE GENERALE EDUC;5.65;OW075P471224075OWLQ71285917UJ04 OW04/11/24-0439/0439   
299;CEAPC;;2024-07-11;0711202420241107-13.17.34.659062 -;VIR SEPA MUTUELLE GENERALE EDUC;7.49;OW079P471224079OWRQ71205941DJ71 OW04/11/24-7151/7151   
300;CEAPC;;2024-07-11;0711202420241107-13.17.32.923198 -;VIR SEPA MUTUELLE GENERALE EDUC;4.27;TP-20241104-079OWNP71206421 -172 032443-0091007791-6396-   
301;CEAPC;;2024-07-11;0711202420241107-13.17.30.004656 -;VIR SEPA MUTUELLE GENERALE EDUC;3.89;OW974P471224974OWRQ71258234KK22 OW04/11/24-2208/2208   
302;CEAPC;;2024-07-11;0711202420241107-13.17.28.933475 -;VIR SEPA MUTUELLE GENERALE EDUC;27.67;OW017P471224017OWRQ71234714GV91 OW04/11/24-8977/9186   
303;CEAPC;;2024-07-11;0711202420241107-10.47.02.629164 -;VIR SEPA C.P.A.M. D ANGOULEME;6.86;0000001720324433101622241106    
304;CEAPC;;2024-07-11;0711202420241107-10.47.00.848092 -;VIR SEPA C.P.A.M. DEUX SEVRES;43.03;0000001720324433101599241106    
305;CEAPC;;2024-07-11;0711202420241107-10.47.00.774822 -;VIR SEPA C.P.A.M. CHARTRES;17.02;0000001720324433107011241106    
306;CEAPC;;2024-07-11;0711202420241107-10.46.55.435583 -;VIR SEPA C.P.A.M. DE LIMOGES;20.15;0000001720324433094221241106    
307;CEAPC;;2024-07-11;0711202420241107-10.46.46.907404 -;VIR SEPA C.P.A.M. DE POITIERS;55.23;0000001720324433107681241106    
308;CEAPC;;2024-07-11;0711202420241107-10.46.39.075735 -;VIR SEPA C.P.A.M. DE LA ROCHELL;3022.97;0000001720324433108122241106    
309;CEAPC;;2024-07-11;0711202420241107-09.31.55.977024 -;VIR SEPA CETIP CETIP;175.43;TP-20241107-SPSANT -172032443-0000476776-6396-   
310;CEAPC;;2024-07-11;0711202420241107-09.31.54.227600 -;VIR SEPA CETIP CETIP;98.26;TP-20241107-ISANTE -172032443-0000476776-6396-   
311;CEAPC;;2024-07-11;0711202420241107-09.31.53.563199 -;VIR SEPA GMC AIO SANTE;10.83;433564418 REMBOURSEMENT DES FRAI S MEDICAUX   
316;CEAPC;;2024-07-11;0711202420241107-08.41.31.212884 -;CB PHARMAMERIQUES    061124;283.44;CB PHARMAMERIQUES    061124 CONTRAT 8413786     REM 161386   
317;CEAPC;;2024-07-11;0711202420241107-08.41.31.204254 -;CB PHARMAMERIQUES    061124;633.96;CB PHARMAMERIQUES    061124 CONTRAT 8413786     REM 158096   
318;CEAPC;;2024-07-11;0711202420241107-08.41.31.194619 -;CB PHARMAMERIQUES    061124;114.54;CB PHARMAMERIQUES    061124 CONTRAT 8413785     REM 163607   
319;CEAPC;;2024-07-11;0711202420241107-08.41.31.184653 -;CB PHARMAMERIQUES    061124;16.4;CB PHARMAMERIQUES    061124 CONTRAT 8413785     REM 158293   
320;CEAPC;;2024-07-11;0711202420241107-03.06.50.849816 -;VIR SEPA C.P.A.M. MONT DE MARSA;15.7;0000001720324433103521241106    
321;CEAPC;;2024-07-11;0711202420241107-03.06.50.528398 -;VIR SEPA CPAM DU JURA;2.6;0000001720324433103150241106    
322;CEAPC;;2024-07-11;0711202420241107-03.06.48.718708 -;VIR SEPA CPAM 77;9.94;0000001720324433100011241106    
323;CEAPC;;2024-07-11;0711202420241107-03.06.47.893043 -;VIR SEPA CPAM DU MORBIHAN - COU;22.65;0000001720324433102411241106    
324;CEAPC;;2024-07-11;0711202420241107-03.06.30.020243 -;VIR SEPA C.P.A.M. PAU;3.43;0000001720324433106831241106    
325;CEAPC;;2024-07-11;0711202420241107-03.06.15.988199 -;VIR SEPA ALMERYS;127.57;TP-20241106-ALMERYS TP -172032443-0098532001-6396-   
326;CEAPC;;2024-07-11;0711202420241107-03.06.14.249750 -;VIR SEPA CARTE BLANCHE TP;16.58;TP-20241106-CARTE BLANCHE -172032443-0098532203-6396-   
331;CEAPC;;2024-06-11;0611202420241106-16.12.29.934284 -;VIR SEPA MSA BERRY-TOURAINE;14.91;2024110100000017203244 02411000    
332;CEAPC;;2024-06-11;0611202420241106-16.12.24.978922 -;VIR SEPA MSA DES CHARENTES OPER;3.54;TP-20241104-MSA DES CHARENTES OP -172032443-0000120936-6396-00028 5552             REMB. MBENGUE -ADJA     - 
333;CEAPC;;2024-06-11;0611202420241106-16.12.24.717641 -;VIR SEPA MSA DES CHARENTES OPER;6.65;TP-20241104-MSA DES CHARENTES OP -172032443-0000120936-6396-00028 5532             REMB. MBENGUE -ADJA     - 
334;CEAPC;;2024-06-11;0611202420241106-16.12.24.704752 -;VIR SEPA MSA DES CHARENTES OPER;17.06;TP-20241104-MSA DES CHARENTES OP -172032443-0000120936-6396-00028 5537             REMB. MBENGUE -ADJA     - 
335;CEAPC;;2024-06-11;0611202420241106-13.17.41.753918 -;VIR SEPA PAV PREVOYANCE PRESTAT;9.13;PRESTATIONS PAVILLON-PREV.    
336;CEAPC;;2024-06-11;0611202420241106-13.17.34.684713 -;VIR SEPA MSA POITOU;6.37;2024110100000017203244 02861000    
337;CEAPC;;2024-06-11;0611202420241106-13.17.24.053021 -;VIR SEPA MSA D'ARMORIQUE;4.52;2024110100000017203244 02221000    
338;CEAPC;;2024-06-11;0611202420241106-13.17.23.921715 -;VIR SEPA VIAMEDIS;12.08;TP-20241031-VIREMENT 6996290 -172032443-0075990010-6396-   
339;CEAPC;;2024-06-11;0611202420241106-13.17.20.681881 -;VIR SEPA MSA DES CHARENTES;12.08;2024110300000017203244 02171000    
340;CEAPC;;2024-06-11;0611202420241106-10.47.35.526132 -;VIR SEPA C.P.A.M. DEUX SEVRES;1.79;0000001720324433091599241105    
341;CEAPC;;2024-06-11;0611202420241106-10.47.11.460790 -;VIR SEPA C.P.A.M. DE LA ROCHELL;2495.19;0000001720324433098122241105    
342;CEAPC;;2024-06-11;0611202420241106-10.47.06.077476 -;VIR SEPA CPAM DE LILLE-DOUAI CF;339.8;0000001720324433095621241105    
343;CEAPC;;2024-06-11;0611202420241106-10.47.05.356488 -;VIR SEPA CPAM RHONE;7.95;0000001720324433094540241105    
344;CEAPC;;2024-06-11;0611202420241106-10.46.44.051134 -;VIR SEPA C.P.A.M. ORLEANS;8.03;0000001720324433096031241105    
345;CEAPC;;2024-06-11;0611202420241106-09.32.34.023762 -;VIR SEPA HENNER GMC;13.83;433396732 -0075949776-0163-    
346;CEAPC;;2024-06-11;0611202420241106-09.32.26.307942 -;VIR SEPA MUTUELLE GENERALE EDUC;29.01;TP-20241031-017OWNP71122757 -172 032443-0091007171-6396-   
347;CEAPC;;2024-06-11;0611202420241106-09.32.25.413099 -;VIR SEPA MUTUELLE GENERALE EDUC;14.86;TP-20241031-079OWNP71132236 -172 032443-0091007791-6396-   
348;CEAPC;;2024-06-11;0611202420241106-09.32.19.215955 -;VIR SEPA MUTUELLE GENERALE EDUC;10.2;OW017P471124017OWRQ71122105GV85 OW31/10/24-8539/8576   
349;CEAPC;;2024-06-11;0611202420241106-09.32.12.638199 -;VIR SEPA CETIP CETIP;33.2;TP-20241106-SPSANT -172032443-0000476776-6396-   
350;CEAPC;;2024-06-11;0611202420241106-09.32.10.909862 -;VIR SEPA CETIP CETIP;53.78;TP-20241106-ISANTE -172032443-0000476776-6396-   
355;CEAPC;;2024-06-11;0611202420241106-08.36.40.221523 -;CB PHARMAMERIQUES    051124;506.4;CB PHARMAMERIQUES    051124 CONTRAT 8413786     REM 160703   
356;CEAPC;;2024-06-11;0611202420241106-08.36.40.214057 -;CB PHARMAMERIQUES    051124;706.43;CB PHARMAMERIQUES    051124 CONTRAT 8413786     REM 157605   
357;CEAPC;;2024-06-11;0611202420241106-08.36.40.206938 -;CB PHARMAMERIQUES    051124;114.1;CB PHARMAMERIQUES    051124 CONTRAT 8413785     REM 157188   
358;CEAPC;;2024-06-11;0611202420241106-08.36.40.198511 -;CB PHARMAMERIQUES    051124;20.58;CB PHARMAMERIQUES    051124 CONTRAT 8413785     REM 146617   
359;CEAPC;;2024-06-11;0611202420241106-05.46.09.052188 -;VIR SEPA MUTUELLE VERTE;15.23;MUTUELLE VERTE PRESTATIONS : MVE RTE241776308T172032443   
360;CEAPC;;2024-06-11;0611202420241106-05.45.57.531022 -;VIR SEPA ACTIL SAS;9.25;ACT:4374345/172032443-311024    
362;CEAPC;;2024-06-11;0611202420241106-03.02.34.642155 -;VIR SEPA HARMONIE MUTUELLE;14.01;TP-20241104-HARMONIE MUTUELLE -172032443-609143-4287-   
363;CEAPC;;2024-06-11;0611202420241106-03.02.34.289867 -;VIR SEPA HARMONIE MUTUELLE;61.5;TP-20241104-HARMONIE MUTUELLE -172032443-609143-4287-   
364;CEAPC;;2024-06-11;0611202420241106-03.02.31.518649 -;VIR SEPA HARMONIE MUTUELLE;48.61;TP-20241104-HARMONIE MUTUELLE -172032443-609143-4287-   
365;CEAPC;;2024-06-11;0611202420241106-03.02.29.211911 -;VIR SEPA CPAM DU FINISTERE;3.43;0000001720324433093021241105    
366;CEAPC;;2024-06-11;0611202420241106-03.02.24.779529 -;VIR SEPA CPAM LA ROCHE S/YON VV;13.27;0000001720324433097140241105    
367;CEAPC;;2024-06-11;0611202420241106-03.02.22.953668 -;VIR SEPA CPAM CAEN;4.36;0000001720324433091021241105    
368;CEAPC;;2024-06-11;0611202420241106-03.02.21.944189 -;VIR SEPA C.P.A.M. BORDEAUX;3.52;0000001720324433090702241105    
369;CEAPC;;2024-06-11;0611202420241106-03.01.34.916425 -;VIR SEPA DDFIP DU VAR;14.91;0000001720324433042106241031    
371;CEAPC;;2024-05-11;0511202420241105-18.18.04.317493 -;VIR SEPA MNT SANTE PRESTATION R;21.65;0143353922 Prestations Sante   1 72032443   
372;CEAPC;;2024-05-11;0511202420241105-18.18.03.876699 -;VIR SEPA MNT SANTE PRESTATION R;2.26;0143353921 Prestations Sante   1 72032443   
373;CEAPC;;2024-05-11;0511202420241105-17.22.58.918221 -;VIR SEPA VIAMEDIS;51.44;TP-20241029-VIREMENT 6909104 -172032443-0075990010-6396-   
374;CEAPC;;2024-05-11;0511202420241105-17.22.54.802402 -;VIR SEPA MUTUELLE DOUEST FRANCE;5.2;MUTUELLE D'OUEST FRANCE    
375;CEAPC;;2024-05-11;0511202420241105-10.47.49.546820 -;VIR SEPA C.P.A.M. DE LA ROCHELL;3289.59;0000001720324433058122241104    
376;CEAPC;;2024-05-11;0511202420241105-10.47.34.290505 -;VIR SEPA C.P.A.M. BLOIS;23.17;0000001720324433055051241104    
377;CEAPC;;2024-05-11;0511202420241105-10.47.33.314962 -;VIR SEPA C.P.A.M. CHARTRES;18.14;0000001720324433057011241104    
378;CEAPC;;2024-05-11;0511202420241105-10.47.32.684076 -;VIR SEPA C.P.A.M. DEUX SEVRES;7.14;0000001720324433051599241104    
379;CEAPC;;2024-05-11;0511202420241105-09.38.14.570469 -;VIR SEPA MUTUELLE GENERALE EDUC;25.82;TP-20241030-060OWNP71011602 -172 032443-0091007601-6396-   
380;CEAPC;;2024-05-11;0511202420241105-09.38.13.192154 -;VIR SEPA MUTUELLE GENERALE EDUC;5.24;OW072P471024072OWRQ71038256ES14 OW30/10/24-1476/1476   
381;CEAPC;;2024-05-11;0511202420241105-09.38.11.103146 -;VIR SEPA MUTUELLE GENERALE EDUC;13.92;OW060P471024060OWLQ71010860FV90 OW30/10/24-9045/9045   
382;CEAPC;;2024-05-11;0511202420241105-09.38.07.170041 -;VIR SEPA MUTUELLE GENERALE EDUC;1.23;OW033P471024033OWRQ71055939OV64 OW30/10/24-6469/6469   
383;CEAPC;;2024-05-11;0511202420241105-09.38.06.604335 -;VIR SEPA MUTUELLE GENERALE EDUC;5.26;TP-20241030-999OWNP71005092 -172 032443-0091007999-6396-   
384;CEAPC;;2024-05-11;0511202420241105-09.38.06.497883 -;VIR SEPA MUTUELLE GENERALE EDUC;7.32;TP-20241030-012OWNP71014583 -172 032443-0091007121-6396-   
385;CEAPC;;2024-05-11;0511202420241105-09.38.02.860538 -;VIR SEPA CETIP CETIP;101.77;TP-20241105-SPSANT -172032443-0000476776-6396-   
386;CEAPC;;2024-05-11;0511202420241105-09.38.01.163202 -;VIR SEPA CETIP CETIP;15.0;TP-20241105-ISANTE -172032443-0000476776-6396-   
387;CEAPC;;2024-05-11;0511202420241105-09.37.54.781444 -;VIR SEPA MUTUELLE GENERALE EDUC;31.32;TP-20241030-079OWNP71062755 -172 032443-0091007791-6396-   
388;CEAPC;;2024-05-11;0511202420241105-09.37.53.872792 -;VIR SEPA MUTUELLE GENERALE EDUC;20.09;OW017P471024017OWRQ71026899GV79 OW30/10/24-7975/7977   
389;CEAPC;;2024-05-11;0511202420241105-09.37.53.863274 -;VIR SEPA MUTUELLE GENERALE EDUC;55.04;TP-20241030-017OWNP71027665 -172 032443-0091007171-6396-   
390;CEAPC;;2024-05-11;0511202420241105-09.37.53.584968 -;VIR SEPA MUTUELLE GENERALE EDUC;2.51;TP-20241030-072OWNP71038720 -172 032443-0091007721-6396-   
391;CEAPC;;2024-05-11;0511202420241105-09.37.53.241651 -;VIR SEPA MUTUELLE GENERALE EDUC;2.28;TP-20241030-033OWNP71057921 -172 032443-0091007331-6396-   
392;CEAPC;;2024-05-11;0511202420241105-09.37.50.089085 -;VIR SEPA MUTUELLE GENERALE EDUC;7.5;TP-20241030-017OWNP71027123 -172 032443-0091007171-6396-   
397;CEAPC;;2024-05-11;0511202420241105-08.42.03.992342 -;CB PHARMAMERIQUES    041124;369.01;CB PHARMAMERIQUES    041124 CONTRAT 8413786     REM 173716   
398;CEAPC;;2024-05-11;0511202420241105-08.42.03.984060 -;CB PHARMAMERIQUES    041124;793.28;CB PHARMAMERIQUES    041124 CONTRAT 8413786     REM 170039   
399;CEAPC;;2024-05-11;0511202420241105-08.42.03.976093 -;CB PHARMAMERIQUES    041124;199.04;CB PHARMAMERIQUES    041124 CONTRAT 8413785     REM 175340   
400;CEAPC;;2024-05-11;0511202420241105-08.42.03.968629 -;CB PHARMAMERIQUES    041124;106.92;CB PHARMAMERIQUES    041124 CONTRAT 8413785     REM 170867   
401;CEAPC;;2024-05-11;0511202420241105-05.46.43.814880 -;VIR SEPA MUTUELLE VERTE;3.05;MUTUELLE VERTE PRESTATIONS : MVE RTE241768848T172032443   
402;CEAPC;;2024-05-11;0511202420241105-05.46.40.282950 -;VIR SEPA ACTIL SAS;2.98;ACT:4358527/172032443-301024    
403;CEAPC;;2024-05-11;0511202420241105-05.46.36.100455 -;VIR SEPA MME NICOLE QUEYROI;94.6;RELEVE PHARMACIE QUEYROI Nicole    
404;CEAPC;;2024-05-11;0511202420241105-03.10.14.603417 -;VIR SEPA CPAM DE L YONNE -DEPEN;4.58;0000001720324433058520241104    
405;CEAPC;;2024-05-11;0511202420241105-03.09.37.974001 -;VIR SEPA MUTUELLE DOUEST FRANCE;7.11;MUTUELLE D'OUEST FRANCE    
406;CEAPC;;2024-05-11;0511202420241105-03.07.41.635209 -;VIR SEPA C.P.A.M. ORNE   VIREME;0.88;0000001720324433053151241104    
407;CEAPC;;2024-05-11;0511202420241105-03.05.11.179982 -;VIR SEPA HARMONIE MUTUELLE;15.47;TP-20241031-HARMONIE MUTUELLE -172032443-609143-4287-   
408;CEAPC;;2024-05-11;0511202420241105-03.03.41.686993 -;VIR SEPA BPCE MUTUELLE;3.26;550144142155 - Decaissement n. 2 400001IelT de 3.26 EUR du 31/10/ 2024 - Tiers payant - Contrat S1 0110000004 
409;CEAPC;;2024-05-11;0511202420241105-03.02.54.300716 -;VIR SEPA ALMERYS;39.31;TP-20241104-ALMERYS TP -172032443-0098532001-6396-   
410;CEAPC;;2024-05-11;0511202420241105-03.02.51.997950 -;VIR SEPA CAISSE PREVOYANCE ET R;4.78;CP MANDAT 20241029          1720 3244   
411;CEAPC;;2024-05-11;0511202420241105-03.02.48.512794 -;VIR SEPA DDFIP DU VAR;1.37;0000001720324433032106241030    
412;CEAPC;;2024-05-11;0511202420241105-03.02.23.779400 -;VIR SEPA M JACQUES VEDRENNE;35.8;Jacques Vedrenne    
413;CEAPC;;2024-05-11;0511202420241105-03.01.57.702076 -;VIR SEPA ALMERYS;106.26;TP-20241102-ALMERYS TP -172032443-0098532001-6396-   
414;CEAPC;;2024-05-11;0511202420241105-03.01.57.092350 -;VIR SEPA ALMERYS;181.32;TP-20241101-ALMERYS TP -172032443-0098532001-6396-   
415;CEAPC;;2024-05-11;0511202420241105-03.01.49.804823 -;VIR SEPA CAMIEG;2.6;0000001720324433050031241104    
423;CEAPC;;2024-04-11;0411202420241104-20.43.11.505026 -;VIR SEPA KORELIO PRESTATIONS;10.18;FRAIS MEDICAUX LOT NUMERO:681    
424;CEAPC;;2024-04-11;0411202420241104-20.43.11.242102 -;VIR SEPA KORELIO PRESTATIONS;8.92;FRAIS MEDICAUX LOT NUMERO:197    
425;CEAPC;;2024-04-11;0411202420241104-18.23.11.576964 -;VIR SEPA MSA DES CHARENTES;8.05;2024103000000017203244 02171000    
426;CEAPC;;2024-04-11;0411202420241104-18.23.00.561740 -;VIR SEPA CETIP CETIP;40.86;TP-20241104-SPSANT -172032443-0000476776-6396-   
427;CEAPC;;2024-04-11;0411202420241104-16.20.05.838389 -;VIR SEPA DOLENZ Daniele;27.0;T.213019.213890 DOLENZ -PHARMACI E 2   
